GLDS-391	179-A4 HS | 179-B10A HS | 179-B9C HS | 179-C2.2 HS | 179-C4.1 HS | 179-C6.1 HS | 179-C7.2 HS | 179-D 10A1 HS | 179-D 1D1 HS | 179-D 3C1 HS | 179-D 5C1 HS | 179-D 6C1 HS | 179-D 7D1 HS | 179-D 8B1 HS | 179-D 9B1 HS | 179-D 9B3 HS | 179-D 9B4 HS | 179-D 9B5 HS | 179-E 4C1 HS | 179-E 5D1 HS | 179-E 7A1 HS | 179-E 7A2 HS | 179-F 10A1 HS | 179-F 1A1 HS | 179-F 3A1 HS | 179-F 3A2 HS | 179-F 5B1 HS | 179-F 6C1 HS | 179-F 7A1 HS | 179-I 10B1 HS | 179-I 1C1 HS | 179-I 2B1 HS | 179-I 2B2 HS | 179-I 2B3 HS | 179-I 3A1 HS | 179-I 4D1 HS | 179-I 5A1 HS | 179-I 5A2 HS | 179-I 6A1 HS | 179-I 6A2 HS | 179-I 7B1 HS | 179-I 8A1 HS | 179-I 9D2 HS | 179-J 10A2 HS | 179-J 6A2 HS | 179-K 10A1 HS | 179-K 1C1 HS | 179-K 2A2 HS | 179-K 2B1 HS | 179-K 2D1 HS | 179-K 3C1 HS | 179-K 3C2 HS | 179-K 3C3 HS | 179-K 5D5 HS | 179-K 6B1 HS | 179-K 6B2 HS | 179-K 6B5 HS | 179-K 7B3 HS | 179-K 7B4 HS | 179-K 9B1 HS | 179-M 4C1 HS | 179-M 8A1 HS | 179-M 9A2 HS
GLDS-396	C57BL/6J | Not Available
GLDS-397	C57BL/6J
GLDS-4	C57BL/6NTac
GLDS-400	Not clear
GLDS-401	BALB/c
GLDS-402	C57BL/6NTac
GLDS-403	C57BL/6NTac
GLDS-404	C57BL/6NTac
GLDS-405	C57BL/6NTac
GLDS-406	Not clear
GLDS-41	N2 wild type
GLDS-410	None found
GLDS-415	Rats, Sprague-Dawley
GLDS-416	None found
GLDS-418	Wistar
GLDS-419	C57BL/6J
GLDS-42	CC1
GLDS-420	C57BL/6J
GLDS-421	C57BL/6J
GLDS-422	Rats, Sprague-Dawley
GLDS-423	Rats, Sprague-Dawley
GLDS-425	N2 | RB756 | VC199
GLDS-426	None found
GLDS-427	Col-0
GLDS-428	Not clear
GLDS-43	Escherichia coli str. K-12 substr. MG1655
GLDS-430	None found
GLDS-434	Not clear
GLDS-436	Not clear
GLDS-44	None found
GLDS-45	Columbia
GLDS-450	Not clear
GLDS-452	Escherichia coli str. K-12 substr. MG1655
GLDS-455	C57BL/6NCrl
GLDS-46	None found
GLDS-467	C57BL/6J
GLDS-47	C57BL/6Tac
GLDS-48	C57BL/6J
GLDS-49	C57BL/6J
GLDS-5	None found
GLDS-50	C57BL/6
GLDS-51	None found
GLDS-52	None found
GLDS-53	None found
GLDS-54	None found
GLDS-55	None found
GLDS-56	None found
GLDS-57	Hn-n
GLDS-58	pool
GLDS-59	None found
GLDS-6	Sprague Dawley
GLDS-60	None found
GLDS-61	C57Bl/J10
GLDS-62	BY4742
GLDS-63	Sprague Dawley
GLDS-67	Not clear
GLDS-69	None found
GLDS-7	60% WS, 40% Col-0 | WS
GLDS-70	Oregon R
GLDS-71	None found
GLDS-72	BalbC/ByJ | C57BL/6CR | Sprague Dawley
GLDS-73	None found
GLDS-74	BALB/c
GLDS-75	None found
GLDS-76	None found
GLDS-78	None found
GLDS-79	BALB/c
GLDS-8	None found
GLDS-80	BALB/c
GLDS-81	WN1106 | WN624
GLDS-82	None found
GLDS-83	None found
GLDS-84	Not clear
GLDS-85	Canton-S
GLDS-86	None found
GLDS-87	C57BL/6CR
GLDS-88	None found
GLDS-89	C57BL/6 Male Mouse
GLDS-90	LHM4
GLDS-91	None found
GLDS-92	None found
GLDS-93	A/JSlc | C3H/HeNrs | C57BL/6JSlc
GLDS-94	CBA
GLDS-95	ATCC 4157
GLDS-96	Canton S
GLDS-97	S288C
GLDS-98	C57BL/6J
GLDS-99	C57BL/6J
